"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano","","","","Module:Arduino_Nano","https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf"
"BZ1","1","T_Buzzer","","","","Buzzer_Beeper:Buzzer_15x7.5RM7.6",""
"C1","1","4700uF 40V","","","","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"C2","1","470uF 40v","","","","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"C3","1","100n","","","","Capacitor_THT:C_Disc_D10.0mm_W2.5mm_P5.00mm",""
"C4","1","1u","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"D1","1","ABS2","","","","Diode_THT:Diode_Bridge_Vishay_GBL","https://diotec.com/tl_files/diotec/files/pdf/datasheets/abs2.pdf"
"D2","1","LED","","","","LED_THT:LED_D3.0mm",""
"D3","1","D","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"D4","1","T_LED","","","","LED_THT:LED_D3.0mm",""
"F1","1","350mA","","","","Fuse:Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal",""
"J1","1","220VAC","","","","Connector_Samtec_HPM_THT:Samtec_HPM-03-05-x-S_Straight_1x03_Pitch5.08mm",""
"J2","1","Vout conn","","","","Connector:Banana_Jack_1Pin",""
"J3","1","OLED Pins","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J4","1","GND/-","","","","Connector:Banana_Jack_1Pin",""
"K1","1","","","","","Relay_THT:Relay_SPST_Omron_G5NB",""
"Q1","1","tip35c","","","","Package_TO_SOT_THT:TO-247-3_Vertical","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q2","1","BD139","","","","Package_TO_SOT_THT:TO-126-3_Vertical","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q3","1","BC184C","","","","Package_TO_SOT_THT:TO-92","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"Q4","1","BC547","","","","Package_TO_SOT_THT:TO-92","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs"
"R1","1","3k3","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R2","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R3","1","120","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R4,R5","2","4k7","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R6","1","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R7","1","0R5/5W","","","","Resistor_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
"RV1,RV2","2","10k","","","","Potentiometer_THT:Potentiometer_ACP_CA14-H2,5_Horizontal",""
"RV3","1","500","","","","Potentiometer_THT:Potentiometer_Runtron_RM-063_Horizontal",""
"RV4","1","50K","","","","Potentiometer_THT:Potentiometer_Runtron_RM-063_Horizontal",""
"SW1","1","Main","","","","Button_Switch_THT:SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm",""
"T1","1","220/24","","","","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm",""
"U1","1","TL431LP","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/tl431.pdf"
"U2","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U3","1","DS18B20","","","","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf"
